frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,lon,lat,ncells,case,domain,size_km2
35,28,13.579056573257516,98.807791591474,10,0.7,1066,2024-09-28 14:55:00,2024-09-28 14:55:00,14.14403895795737,51.91789528286629,205.0,case2,DOM01,38.66470555992522
35,29,17.61636574011786,99.92796214360673,5,0.7,1067,2024-09-28 14:55:00,2024-09-28 14:55:00,14.149639810718034,51.93808182870059,279.0,case2,DOM01,52.6217212254592
35,30,35.626372572595216,135.87820650365765,138,0.7,1068,2024-09-28 14:55:00,2024-09-28 14:55:00,14.329391032518288,52.02813186286298,930.0,case2,DOM01,175.4057374181973
35,34,57.02677924103738,153.8981358800267,14,0.7,1070,2024-09-28 14:55:00,2024-09-28 14:55:00,14.419490679400134,52.13513389620518,113.0,case2,DOM01,21.312740137909998
35,35,57.56957712255296,148.20436217333304,12,0.7,1071,2024-09-28 14:55:00,2024-09-28 14:55:00,14.391021810866665,52.137847885612764,1091.0,case2,DOM01,205.77167690672394
35,36,60.793246393749264,14.686377423620378,28,0.7,1072,2024-09-28 14:55:00,2024-09-28 14:55:00,13.723431887118101,52.153966231968745,272.0,case2,DOM01,51.3014629868276
35,37,70.82534566112119,41.18487783666418,137,0.7,1073,2024-09-28 14:55:00,2024-09-28 14:55:00,13.855924389183322,52.2041267283056,758.0,case2,DOM01,142.96510641182104
35,40,74.48959549720234,27.749222170779536,8,0.7,1076,2024-09-28 14:55:00,2024-09-28 14:55:00,13.788746110853898,52.22244797748601,69.0,case2,DOM01,13.013974066511413
35,41,79.01172093885843,64.86147029323597,67,0.7,1077,2024-09-28 14:55:00,2024-09-28 14:55:00,13.97430735146618,52.24505860469429,250.0,case2,DOM01,47.152079951128314
35,42,82.51973928807615,58.07484445789753,6,0.7,1078,2024-09-28 14:55:00,2024-09-28 14:55:00,13.940374222289487,52.26259869644038,24.0,case2,DOM01,4.526599675308318
35,43,85.2616879863111,20.228105598375038,39,0.7,1079,2024-09-28 14:55:00,2024-09-28 14:55:00,13.751140527991875,52.276308439931555,841.0,case2,DOM01,158.61959695559565
35,44,95.01485448526739,59.70948519066195,160,0.7,1080,2024-09-28 14:55:00,2024-09-28 14:55:00,13.94854742595331,52.32507427242634,654.0,case2,DOM01,123.34984115215165
35,46,115.77907267971894,25.034913871504298,72,0.7,1081,2024-09-28 14:55:00,2024-09-28 14:55:00,13.775174569357521,52.428895363398595,231.0,case2,DOM01,43.56852187484256
36,6,17.36851203333006,2.85118221298922,16,0.3,1085,2024-09-28 15:00:00,2024-09-28 15:00:00,13.664255911064947,51.93684256016665,0.0,case2,DOM01,0.0
36,8,67.64972130171245,111.04956411313619,40,0.3,1086,2024-09-28 15:00:00,2024-09-28 15:00:00,14.205247820565681,52.18824860650856,0.0,case2,DOM01,0.0
36,13,5.577642302375206,13.209677617379048,7,0.5,1087,2024-09-28 15:00:00,2024-09-28 15:00:00,13.716048388086895,51.87788821151188,64.0,case2,DOM01,12.070932467488849
36,15,13.538265326728263,89.35352703128407,6,0.5,1089,2024-09-28 15:00:00,2024-09-28 15:00:00,14.096767635156422,51.917691326633644,44.0,case2,DOM01,8.298766071398582
36,22,100.61847188917893,129.19455654352788,282,0.5,1092,2024-09-28 15:00:00,2024-09-28 15:00:00,14.295972782717639,52.353092359445895,407.0,case2,DOM01,76.76358616043689
36,24,124.01107180160142,107.75479927157534,34,0.5,1093,2024-09-28 15:00:00,2024-09-28 15:00:00,14.188773996357876,52.47005535900801,67.0,case2,DOM01,12.636757426902387
36,30,56.963175271507446,23.026797204385026,35,0.7,1098,2024-09-28 15:00:00,2024-09-28 15:00:00,13.765133986021926,52.134815876357536,327.0,case2,DOM01,61.67492057607583
36,32,70.54682301588817,45.002518890232224,155,0.7,1100,2024-09-28 15:00:00,2024-09-28 15:00:00,13.875012594451162,52.202734115079444,848.0,case2,DOM01,159.93985519422722
36,33,70.536180488478,56.38016650568051,5,0.7,1101,2024-09-28 15:00:00,2024-09-28 15:00:00,13.931900832528402,52.20268090244239,48.0,case2,DOM01,9.053199350616635
36,35,75.37033415156313,66.7379209240802,62,0.7,1103,2024-09-28 15:00:00,2024-09-28 15:00:00,13.9836896046204,52.22685167075782,222.0,case2,DOM01,41.87104699660194
36,36,74.56311391602082,79.28306675308608,16,0.7,1104,2024-09-28 15:00:00,2024-09-28 15:00:00,14.046415333765431,52.222815569580106,101.0,case2,DOM01,19.04944030025584
36,38,87.25839594957611,35.453924864862515,67,0.7,1105,2024-09-28 15:00:00,2024-09-28 15:00:00,13.827269624324313,52.28629197974788,805.0,case2,DOM01,151.82969744263315
36,39,95.89459201625367,69.18469037267775,142,0.7,1106,2024-09-28 15:00:00,2024-09-28 15:00:00,13.995923451863389,52.32947296008127,736.0,case2,DOM01,138.81572337612175
36,42,112.9252905957842,34.944366850766166,66,0.7,1107,2024-09-28 15:00:00,2024-09-28 15:00:00,13.82472183425383,52.41462645297892,390.0,case2,DOM01,73.55724472376018
